animal,EBV_NINT1,EBV_MTPN1,EBV_MUNY1,EBV_NINT2+,EBV_MTPN2+,EBV_MUNY2+,Reliability_NINT1, Reliability_MTPN1, Reliability_MUNY1, Reliability_NINT2+, Reliability_MTPN2+, Reliability_MUNY2+
15,-0.00774406,-0.00034638,0.05023715,-0.00444247,-0.00034165,0.04769611,0.3769226,0.33460957,0.35667142,0.36722433,0.33421851,0.34928324
16,-0.00395987,-0.00384516,-0.09169013,-0.00726303,-0.00774137,-0.18930892,0.39222465,0.28857668,0.3342338,0.39307952,0.31612292,0.34435536
17,-0.00652627,-0.00018308,-0.00877825,-0.00861024,-0.001995,-0.05823521,0.36533469,0.31458468,0.33984416,0.35715484,0.32004522,0.33669968
18,0.00362356,0.00197394,0.03257042,0.00374373,0.00217088,0.03988331,0.33832512,0.30376839,0.32355046,0.3549692,0.33343552,0.33953404
19,-0.00896957,0.00587294,0.56064432,-0.00174799,0.00757309,0.72013673,0.53081344,0.44506434,0.47919616,0.54071146,0.47441591,0.49323444
20,0.00755734,0.00256622,-0.05359955,0.00868902,0.0049221,-0.03481175,0.15613339,0.13117594,0.14179948,0.16491487,0.1482559,0.15223481
21,0.00236727,0.00166478,0.01266778,0.00652337,0.00103975,-0.08562077,0.46557308,0.34905522,0.40024803,0.47219983,0.38518807,0.41928482
22,-0.00231002,0.00158961,0.11215476,-0.00088757,0.00300213,0.19666687,0.42736043,0.35641896,0.38522424,0.43662553,0.38487878,0.3985816
23,-0.02468647,-0.00291944,0.03772503,-0.02391996,-0.00672669,-0.05691807,0.43863681,0.34011288,0.37099358,0.46193781,0.39083424,0.40225338
24,-0.00444489,-0.00292068,-0.05329946,-0.00486811,-0.00553418,-0.1361212,0.29746433,0.21006435,0.23395723,0.31527742,0.25259574,0.26082296
25,-0.0136764,-0.00157942,0.04279227,-0.01464722,-0.00113184,0.08437129,0.47156679,0.33020969,0.39296546,0.48450683,0.37599945,0.41880928
26,-0.00776548,-0.00067076,-0.11848208,0.00153306,0.00176886,-0.24094428,0.43248878,0.38422004,0.40949653,0.41529994,0.37559526,0.39599982
27,0.01331254,-0.00295306,-0.29471265,0.01130301,-0.00199349,-0.33066469,0.44087542,0.37029144,0.41330292,0.4161526,0.36117916,0.39607657
28,0.01227048,0.01034602,0.50683804,0.0168488,0.01258582,0.69146462,0.45608115,0.38408858,0.41594423,0.44029506,0.38084821,0.40413921
29,-0.01523359,-0.01069786,-0.27274073,-0.02776352,-0.01220083,-0.19486664,0.52651421,0.42463167,0.46101981,0.54853708,0.47527955,0.49336474
30,0.02107306,0.00381934,0.07464041,0.03384222,0.00557436,-0.03564019,0.44877646,0.40633374,0.42514322,0.43300094,0.39749232,0.41252274
31,-0.00525897,-0.00134891,0.17777627,-0.00431164,-0.00497344,0.13077904,0.39056402,0.34108394,0.36368155,0.3846698,0.34718894,0.36142427
32,0.00758355,0.0046464,0.16504588,0.00529395,0.00739176,0.3269067,0.35281279,0.28663008,0.308098,0.37404166,0.32702432,0.33187576
33,-9.863e-05,0.00430292,0.02663543,0.00138912,0.00851837,0.0865676,0.49886516,0.402422,0.4422173,0.50908744,0.43764224,0.46219246
34,0.00509066,-0.00622632,-0.22782774,0.00885795,-0.00906945,-0.37567928,0.3345366,0.29002563,0.31312268,0.33121925,0.29380956,0.30936736
35,0.03205051,0.00305808,-0.212144,0.04132667,0.00597908,-0.31861251,0.41895536,0.35794255,0.38210617,0.39813425,0.34489883,0.36556844
36,-0.00879839,-0.00011713,0.14126908,-0.00392603,-0.00222858,0.03712143,0.4483175,0.3583457,0.39217437,0.45849733,0.39001925,0.40780769
37,-0.00247744,-0.00065282,-0.04756,-0.00251248,-0.00210759,-0.09970504,0.55651595,0.43633676,0.49805063,0.56864719,0.47880939,0.51997762
38,0.00872818,-0.0015268,-0.03300648,0.01457817,-0.0048295,-0.21738626,0.42927309,0.37444603,0.39593876,0.43715505,0.39645785,0.40736707
39,-0.00397935,-0.00155686,-0.05254853,-0.00788977,-0.00246501,-0.02879882,0.46894048,0.40653598,0.43473327,0.46835814,0.42046793,0.43673546
40,0.0127975,0.0028885,-0.04003745,0.01749528,0.00477341,-0.05069082,0.50477405,0.36008798,0.41625592,0.54040277,0.44055393,0.47022584
41,0.00526151,0.00215144,0.2730984,0.01220173,0.00158295,0.27811763,0.45787404,0.41769255,0.43724044,0.44120393,0.40703792,0.42245706
42,0.00949975,0.00372648,0.03035458,0.01950871,0.00953018,0.08296167,0.4532987,0.38529859,0.41419483,0.44478624,0.39048632,0.41048394
43,0.00148743,0.00176523,-0.00681713,0.00884261,0.00382355,-0.03398993,0.41063853,0.34579142,0.37134108,0.43356317,0.38917655,0.39695219
44,0.00459168,-0.00093082,0.04452196,0.00704645,0.00132853,0.14140934,0.461165,0.39833421,0.43551536,0.44134533,0.39359247,0.42220834
45,-0.00439988,0.00090773,-0.06133377,-0.00589658,0.0007801,-0.09607022,0.350866,0.27358802,0.30299222,0.36159013,0.30667517,0.32096372
46,0.00163044,0.00282772,0.14647194,0.00594372,0.00214904,0.10726846,0.25125798,0.19405934,0.221274,0.23422035,0.1911976,0.21274485
47,-0.00302701,0.00080002,0.23377897,-0.00532496,-0.00288255,0.23193298,0.42319899,0.31130189,0.35070417,0.44809857,0.37020435,0.38918162
48,0.01857866,-0.00040393,-0.39635658,0.02314801,0.00463632,-0.47395284,0.46488826,0.39096893,0.41562105,0.48358594,0.42818927,0.43644548
49,0.01902607,0.00366054,0.06896433,0.01943666,0.00535013,0.13521508,0.44975,0.33284306,0.37468176,0.46223752,0.37690978,0.40328015
50,0.00602847,-0.00138559,-0.39420026,0.00693638,0.00122739,-0.52325061,0.2641379,0.24256835,0.25549625,0.27787993,0.26441462,0.26747621
51,-0.00444716,-0.00411605,-0.00097598,-0.00954101,-0.00608332,0.03964271,0.41684899,0.333895,0.3683707,0.4259931,0.36690415,0.38779377
52,-0.01554146,0.00670991,0.30642468,-0.01086441,0.01097028,0.43512442,0.50079933,0.43008288,0.46861872,0.48413602,0.42958199,0.45769818
53,0.00558372,-0.00509553,-0.07614122,-0.00289053,-0.00602158,0.0602658,0.37787326,0.3041182,0.32959316,0.38909212,0.33636939,0.34608929
54,0.01352518,-0.00017245,0.08977025,0.01641448,0.00022737,0.13125735,0.45931877,0.39765361,0.42803715,0.43812857,0.38714885,0.41238053
55,-0.01229024,-0.00356818,-0.02842849,-0.01705886,-0.00758985,-0.10497122,0.49733783,0.42153382,0.45363216,0.49927671,0.44002814,0.45946981
56,-0.00450394,-0.00479222,-0.23873217,-0.00939345,-0.00444621,-0.22712385,0.34317573,0.24505718,0.27406914,0.37274909,0.30607753,0.31336523
57,0.00217081,-0.00323817,-0.3433756,-0.000225,-5.374e-05,-0.29727827,0.48547565,0.38385142,0.42057656,0.50449529,0.43022235,0.44972692
58,0.00441733,0.00448113,0.09073563,0.00727436,0.00625603,0.08742783,0.48121475,0.38825057,0.42806453,0.4850577,0.41281937,0.43678432
59,0.00023785,-0.00341811,-0.15512581,-0.00333375,-0.00086519,-0.04692282,0.42919653,0.35796283,0.37744992,0.44916052,0.39776463,0.40257706
60,-0.00519723,-0.00303117,-0.03150006,-0.00327974,-0.00119107,0.00755199,0.5489605,0.44531301,0.49536993,0.55086258,0.46992095,0.5077479
61,-0.01519373,-0.00097121,0.15341834,-0.0178748,-0.0037217,0.17971061,0.36593852,0.27618628,0.30397707,0.38825615,0.32416295,0.3333807
62,0.01093276,-0.00109743,-0.04721709,0.00495811,-0.00537487,-0.10480683,0.39634299,0.29248403,0.33297977,0.4216154,0.35248978,0.37273455
63,-0.00435039,-0.00077922,-0.08914042,-0.0068298,0.00199614,0.00546814,0.5029879,0.40178458,0.43872768,0.52633177,0.45548902,0.47392841
64,0.0190506,0.00465468,0.00829576,0.03043096,0.01072841,0.02705752,0.45110214,0.39289843,0.41051688,0.46625458,0.42252154,0.42706518
65,0.00265724,-0.00687418,-0.33348273,0.00820573,-0.00431919,-0.37391843,0.58493998,0.51141529,0.54686126,0.58358385,0.52292621,0.54491072
66,-0.00043056,-3.208e-05,0.13783728,-0.00222228,-0.00183325,0.14612333,0.41795942,0.32426289,0.36614568,0.42072677,0.35048516,0.37803431
67,-0.0020381,0.00029809,-0.19657995,-0.00068967,0.00384225,-0.2118512,0.33077848,0.25185273,0.27788991,0.34620038,0.28922354,0.29900996
68,-0.00384439,-0.00153967,0.08437465,0.00387821,-0.00049326,0.06764809,0.42574384,0.38709478,0.40556183,0.41643747,0.38547459,0.39813031
69,-0.0025762,0.00589135,0.2035862,0.00694023,0.00449263,0.09573555,0.48022494,0.41111008,0.44137605,0.47719684,0.42201871,0.44106574
70,0.01519455,0.00444545,-0.10705544,0.01517445,0.00642713,-0.11291298,0.40762631,0.31337331,0.3457945,0.44401701,0.38234336,0.39020658
71,-0.0094858,-0.00261372,0.20469356,-0.01061548,-0.00623168,0.22951252,0.42473514,0.3776268,0.40365125,0.41686339,0.38239259,0.39924872
72,0.00424439,-0.00033664,-0.20703606,0.00452887,0.00346018,-0.15271349,0.41258587,0.3508111,0.37215508,0.42869273,0.38464061,0.39092738
73,-0.00511401,0.00344455,-0.23182338,-0.00360746,0.00497671,-0.38691027,0.48263824,0.37464722,0.40781868,0.50847892,0.42912014,0.4434325
74,0.00934416,-0.00354102,-0.35403476,0.0052225,-0.00361375,-0.42231096,0.4511161,0.33692242,0.37449056,0.48793099,0.40891955,0.42111769
75,-0.01067456,-0.0052306,0.091398,-0.01353392,-0.00931136,0.09921811,0.39318352,0.28757125,0.32046014,0.41535067,0.33828827,0.35171764
76,0.02084201,0.00561044,0.06007672,0.02826244,0.00753145,0.02999709,0.44117333,0.38755276,0.41428795,0.41842412,0.37193801,0.39471155
77,-0.00067122,0.00276525,0.01917832,-0.00066409,-0.00117287,-0.17195509,0.46296557,0.38504427,0.41018017,0.48909809,0.43371994,0.43998384
78,-0.00101039,0.00158438,0.18809519,0.00565479,0.00169845,0.18712359,0.4063047,0.34935147,0.36688047,0.42198242,0.38009478,0.38416723
79,0.00439965,7.442e-05,0.02219461,0.00615635,-0.00121096,-0.01294822,0.42478051,0.33450408,0.36255135,0.45007539,0.38479842,0.39335649
80,-0.00865331,-0.00379509,-0.11378608,-0.01457688,-0.00326167,-0.04195136,0.42690506,0.33040914,0.37122776,0.42512272,0.35158382,0.38056356
81,0.00056562,-0.00200191,-0.03812527,0.00122326,-0.00178402,-0.02127479,0.14853211,0.11726857,0.13355727,0.13439623,0.11099778,0.12515738
82,0.01338429,0.00654281,0.07087044,0.02128679,0.01167226,0.11340264,0.41938866,0.36367574,0.3908367,0.38900726,0.34039312,0.36560447
83,0.0051525,0.00438548,0.17592045,0.01274576,0.00293246,0.0562958,0.47957652,0.37517361,0.41264564,0.50470605,0.43038575,0.44841337
84,-0.00905923,-0.00192116,0.13962638,-0.01226216,-0.00390552,0.19957708,0.543957,0.44187155,0.48714421,0.55184273,0.47076768,0.49995619
85,0.00642141,0.00241185,0.07654269,0.00291942,0.00107381,0.0971888,0.48599822,0.40583118,0.44143116,0.48392233,0.42051555,0.44338814
86,-0.01205477,0.0064792,0.46490065,-0.00989888,0.00299277,0.48012469,0.40379968,0.31946465,0.35259479,0.39423692,0.32888022,0.35148491
87,0.0170835,0.00497914,-0.04110921,0.02099103,0.0076958,-0.05825261,0.34045288,0.29677049,0.31990466,0.29466376,0.25379259,0.2808599
88,-0.00115357,-0.00234351,-0.05521488,-0.00502453,-0.00469187,-0.09264644,0.53465122,0.41898883,0.47659772,0.54338958,0.45522026,0.49305591
89,-0.01599679,-0.00382981,0.11211687,-0.01532345,-0.00199339,0.26127692,0.58104038,0.4995372,0.53801659,0.58194052,0.51978591,0.54657396
90,-0.0062956,-0.00102996,0.16705422,0.00120554,0.00068517,0.21209665,0.52541912,0.43486381,0.47643059,0.52490218,0.4538844,0.48331293
91,-0.01395803,0.00388067,0.0895295,-0.01391578,0.00318305,0.01196826,0.46754719,0.36280505,0.40728314,0.46975034,0.3863875,0.41557821
92,0.00740974,-0.00650754,-0.31089833,0.01077362,-0.00688555,-0.42420573,0.42283352,0.36143871,0.38583915,0.4184332,0.37088818,0.38613879
93,-0.00309829,-0.00580255,-0.22823357,-0.00076664,-0.00924056,-0.42104326,0.43948573,0.34585566,0.37929555,0.46770146,0.40250729,0.4133979
94,0.01437335,-0.0014085,-0.13847788,0.01968477,-0.00218592,-0.23940765,0.52146786,0.43861582,0.4782191,0.52068421,0.45606046,0.48480371
95,0.00843475,0.005834,-0.1139389,0.01131509,0.0071766,-0.24964807,0.45313358,0.41133351,0.43207903,0.43479925,0.39856156,0.4153891
96,0.00427393,0.00180721,-0.09068795,0.01043146,0.00293085,-0.19122432,0.54085008,0.41844116,0.48265351,0.54253094,0.44621368,0.49184642
97,0.00430458,-9.801e-05,0.04913506,0.0056062,0.00052669,0.10728916,0.34045882,0.29294305,0.31656897,0.32650245,0.28977858,0.30773268
98,-0.0112104,-0.00753563,0.129513,-0.01994524,-0.01289815,0.22400022,0.4922932,0.40609013,0.4383657,0.51610983,0.45445988,0.46596885
99,0.00037669,-0.00244687,-0.21120277,0.00260282,-0.00445797,-0.38553638,0.40329781,0.26712989,0.31051778,0.42454967,0.32639878,0.35072052
100,0.00610863,-0.00266402,-0.31038909,0.00656974,-0.00520601,-0.54656726,0.482657,0.40759601,0.4331114,0.49404861,0.43697387,0.44854073
101,-0.00086365,-0.00168574,-0.00097748,-0.00060773,-0.00154216,0.0302821,0.56743705,0.45624844,0.50579459,0.57770429,0.49167025,0.52541559
102,-0.02287532,-0.00765285,0.11098517,-0.01775044,-0.01113487,0.07433753,0.51004526,0.39507834,0.43889049,0.5350333,0.4553404,0.47893378
103,0.01044657,-0.00630742,-0.38024454,0.0077526,-0.0025543,-0.2966687,0.42468156,0.37925181,0.40293378,0.42495414,0.3924665,0.40677782
104,-0.01043697,-0.00049824,0.19272291,-0.00816065,-0.00167389,0.22678692,0.55609803,0.48846583,0.51936645,0.55046031,0.49463657,0.51559411
105,0.00577437,0.00454623,0.22297419,0.01852858,0.00970435,0.27045213,0.55701266,0.47278859,0.51522187,0.55300186,0.48875535,0.51617558
106,-0.00794096,-0.00090897,0.13439084,-0.01228906,-0.00349609,0.18295185,0.47376905,0.34139639,0.39464578,0.49412283,0.39850228,0.42972033
107,-0.00253601,-0.00487483,-0.21388722,-0.01198311,-0.00837587,-0.27068164,0.51109031,0.4348663,0.46601566,0.51594485,0.4568106,0.47449313
108,-0.00473206,-0.00315124,-0.07243273,-0.00071381,-0.00578106,-0.2016081,0.50004103,0.39727221,0.44047028,0.50586784,0.42592249,0.45238256
109,0.01667351,-0.00352099,-0.45088711,0.01783582,-0.00389743,-0.58668982,0.46369651,0.37900244,0.40827533,0.48873791,0.428575,0.43835666
110,0.00145641,-0.0002502,0.20221478,0.00183862,-0.00238834,0.22050283,0.46776636,0.36986581,0.41891345,0.46022431,0.38562745,0.42232286
111,-0.0066719,-0.0003129,-0.05427043,-0.00957793,-0.00126287,-0.09649589,0.45767562,0.33872279,0.39092828,0.48308918,0.40116428,0.43112956
112,0.02893646,0.00595131,-0.01227071,0.04510217,0.01036846,-0.10971775,0.42848224,0.39112494,0.4119189,0.40389332,0.36913757,0.3892235
113,-0.00211533,0.00142146,0.07714754,-0.00298555,0.00243015,0.14510205,0.38411821,0.33059313,0.34650972,0.40010933,0.36106272,0.36430234
114,-0.02098973,-0.00649892,0.08204781,-0.02163294,-0.00885292,0.12053911,0.41182402,0.29908269,0.34461613,0.43284153,0.35575665,0.38195987
115,-0.00043786,-0.00604151,-0.3569792,-0.00124182,-0.00470153,-0.40283573,0.37610085,0.28937079,0.32331173,0.36850635,0.30165476,0.32488652
116,-0.00273248,-0.00644614,-0.16484522,-0.00921842,-0.00779989,-0.12610638,0.39490839,0.33505763,0.37299854,0.36612877,0.32112662,0.352757
117,0.00876372,0.00781944,0.13243365,0.01052706,0.01190864,0.2255764,0.45306129,0.32180717,0.36758872,0.48013576,0.38724707,0.41062568
118,-0.00415734,-0.00555649,0.0507316,-0.00270219,-0.00785963,0.08624243,0.52701389,0.45917449,0.49069956,0.51978727,0.46545169,0.4865633
119,0.00193769,0.0019964,-0.14588396,-0.00103327,0.00303888,-0.15317035,0.3502746,0.29932684,0.32410579,0.32456438,0.2824334,0.30445894
120,0.01007806,0.00213291,0.01419298,0.01303569,0.00451863,0.07113406,0.46112005,0.41501257,0.44064723,0.44813041,0.41025311,0.43022247
121,-0.01117454,0.00176116,0.22057765,-0.01481897,0.00200249,0.32670691,0.42871307,0.36236479,0.38420588,0.44451892,0.39555393,0.40301017
122,0.01221114,0.00381685,0.01351673,0.021876,0.00607768,-0.06743591,0.35296359,0.30034282,0.32579502,0.32441483,0.28098866,0.3043426
123,0.0015385,0.00396871,0.16924948,0.0051068,0.00373848,0.14984425,0.34804095,0.27127295,0.30219418,0.35901402,0.30278488,0.32023307
124,0.0167903,0.00517925,-0.12554745,0.01609031,0.00659971,-0.17443824,0.36559838,0.2975452,0.32869919,0.35396176,0.30202591,0.32428346
125,-0.01794639,-0.00186351,-0.06833593,-0.02411519,-0.00179041,-0.04577562,0.46555111,0.36773335,0.40626118,0.48200237,0.40969889,0.42896422
126,0.00590187,0.00343226,-0.15213233,0.00898025,0.00473552,-0.24351667,0.42948792,0.37516998,0.4026396,0.42333051,0.38159668,0.39987823
127,0.00176545,-0.00245169,-0.09996683,0.00241355,-0.00227969,-0.10750049,0.18378357,0.13318942,0.1459949,0.19449941,0.15813826,0.16138306
128,-0.00411415,0.00184575,0.05976194,-0.00599604,0.00172383,0.0682685,0.31582446,0.23046608,0.25880867,0.32775799,0.266604,0.2822105
129,-0.00903625,0.00183628,0.03729937,-0.00184209,0.00652439,0.1089998,0.4576167,0.39632566,0.4217631,0.45518184,0.40779934,0.4228664
130,-0.00528328,0.00138162,0.01356088,-0.00140942,8.7e-07,-0.09916506,0.36394797,0.30664806,0.32792882,0.372657,0.3292993,0.3389578
131,-0.01270078,0.00370121,0.37748491,-0.01175723,0.00301668,0.46540609,0.56490531,0.47262922,0.51334024,0.57323897,0.5025404,0.5260367
132,-0.01490966,0.00300869,0.14090845,-0.01791238,0.00292067,0.19115787,0.36926917,0.25918847,0.29999127,0.38790693,0.31188202,0.3351463
133,0.00267593,0.00237167,0.04759325,0.00641955,0.00261297,0.00378227,0.36402297,0.25389443,0.295922,0.35360034,0.26762646,0.29782284
134,-0.01588904,-4.739e-05,0.27450527,-0.01427667,-0.00145466,0.3155161,0.43311204,0.37723488,0.40467291,0.43340929,0.39250085,0.40774433
135,-0.00313162,0.00372834,-0.04612732,-0.00129468,0.00432874,-0.16877161,0.4628152,0.39996734,0.42450767,0.46379073,0.41343854,0.42714226
136,0.00844645,0.00271397,-0.0153673,0.01144813,0.00495479,0.00366542,0.47114315,0.36159328,0.39824143,0.4953804,0.4146153,0.4306842
137,0.01718289,0.00121469,0.06135163,0.02344859,0.00082547,0.03187569,0.51079577,0.43719441,0.47028335,0.51046221,0.45242378,0.47323016
138,-0.01890192,-0.00191704,0.12518403,-0.02061613,-0.00110045,0.24309925,0.36930523,0.25822816,0.30780179,0.35997121,0.27481298,0.31341632
139,0.00055174,-0.00516889,-0.24424494,-0.00596516,-0.00871916,-0.34049179,0.3276696,0.26563446,0.28444384,0.34710727,0.30294752,0.30677368
140,0.0074405,-0.00274315,-0.15542327,0.01047418,-0.00452574,-0.29063094,0.38264586,0.3354213,0.35254518,0.39198105,0.35539847,0.36218034
141,-0.00526024,-0.00465604,-0.05596661,-0.00423853,-0.00435509,-0.01320728,0.24534858,0.21909742,0.23310911,0.24101094,0.22014671,0.22993065
142,-0.00048992,0.0003479,-0.06963282,-0.00051164,-0.00200956,-0.23573682,0.48004559,0.37386013,0.40945909,0.50052067,0.42321443,0.44191584
143,0.00183779,-0.00269822,-0.27837594,-0.00170075,-0.00209439,-0.3119365,0.45955216,0.3787736,0.41337279,0.45950292,0.39780614,0.41911624
144,-0.01160117,-0.00948015,0.07206943,-0.01822817,-0.01432928,0.14587198,0.49757101,0.40598677,0.44851196,0.49538534,0.42360737,0.45092812
145,0.00241206,0.00388405,0.08671574,0.00497028,0.00299936,0.01410307,0.28050079,0.23411077,0.2522385,0.2976587,0.26638992,0.27192685
146,0.00683499,0.00392973,0.15263065,0.01687602,0.00915313,0.22879487,0.49314364,0.40952164,0.4451869,0.4940835,0.43000387,0.45212738
147,0.00384269,0.00569965,0.07597116,0.01200878,0.00959671,0.08114735,0.2936664,0.23958647,0.26033654,0.31611311,0.28051804,0.28482096
148,-0.00183355,-0.00237189,0.10973172,0.00518598,-0.00049796,0.21765989,0.51056808,0.43533834,0.46453726,0.51576266,0.45691308,0.47318709
149,-0.00088614,-0.00524631,-0.14604095,-0.00659045,-0.00740477,-0.14685909,0.51625401,0.40763815,0.44837079,0.54690649,0.47135342,0.48989982
150,0.02291822,0.00742759,-0.01735841,0.0241987,0.00954525,-0.02990843,0.50074836,0.41059107,0.45054226,0.51529212,0.44795729,0.46876369
151,-0.00254835,0.00113079,0.1627351,-0.0054007,7.814e-05,0.20284955,0.37772889,0.3171728,0.33816002,0.39942024,0.35663155,0.36132656
152,-0.02611754,-0.00307114,0.33859716,-0.02342743,-0.00588206,0.37845311,0.54038096,0.42986809,0.47835696,0.55471113,0.47074937,0.50161946
153,0.00560856,0.00293713,0.01473971,0.00979949,0.00315123,-0.0471064,0.4198163,0.38124679,0.40122366,0.41297799,0.3821728,0.39499438
154,0.02225782,0.00816519,0.02868978,0.03336251,0.00972094,-0.14228838,0.48574764,0.44176307,0.46342513,0.47136316,0.43575162,0.45236961
155,0.00782171,-0.00245485,-0.03656214,0.00972052,-0.00457519,-0.11478454,0.5227268,0.43498262,0.46367124,0.53490324,0.46701433,0.48155969
156,-0.00248555,0.00498739,0.28029909,-0.0005829,0.00538799,0.34768182,0.42091563,0.35693039,0.38598784,0.40734001,0.35468222,0.37588096
157,0.00714037,0.00056532,-0.18417442,0.00535756,0.00382453,-0.10583117,0.39807975,0.28507807,0.3187248,0.42714558,0.34606607,0.35808876
158,-0.00431657,0.00856436,0.2037132,0.00054387,0.01341584,0.26186797,0.51163064,0.41686302,0.45713392,0.52705093,0.45612338,0.47699578
159,0.00443985,-0.0015448,-0.19955967,0.00750447,-0.00172877,-0.31661351,0.35579779,0.31051082,0.3334216,0.33435641,0.29683571,0.31645278
160,0.02171668,0.00171103,-0.22339386,0.01809291,0.00365652,-0.20000667,0.40830467,0.28974203,0.33581837,0.41086104,0.31839516,0.34904328
161,-0.00071719,-0.00097208,-0.11085183,-0.00449535,-0.00419592,-0.22099548,0.25642326,0.22632754,0.24405454,0.27719896,0.26063735,0.26461146
162,-0.00363482,0.00130676,-0.06476081,-0.00564873,0.00070238,-0.09364706,0.50088288,0.41781593,0.45176311,0.51052136,0.44743176,0.46516379
163,-0.01234103,-0.00309878,-0.12150138,-0.00829726,-0.00395152,-0.22475468,0.42158435,0.32641369,0.3568984,0.44456712,0.37592575,0.38629291
164,0.00330519,0.00159703,-0.13220491,0.00564866,0.00208826,-0.21053396,0.33252553,0.26502655,0.28606945,0.35480395,0.30828042,0.3128291
165,0.01243516,-0.00183557,-0.17794171,0.02040466,0.00017653,-0.26276326,0.43735031,0.34022873,0.37637974,0.43884015,0.36368899,0.3859213
166,0.00038673,0.00241143,0.2701352,0.0045179,-0.00095576,0.21204606,0.37385524,0.29013828,0.32051159,0.38943766,0.32943734,0.342237
167,-0.00764419,-0.00174841,0.02732875,-0.003935,-0.00488014,-0.12852292,0.43494342,0.31843939,0.36657888,0.44370536,0.35828641,0.38849644
168,0.02257722,0.00287929,-0.26875812,0.0246711,0.00653927,-0.29822239,0.46196225,0.37180678,0.41263688,0.4607849,0.39187439,0.41763701
169,0.00140032,0.0041637,-0.21567002,-0.00021191,0.00442978,-0.33719063,0.48917247,0.42672799,0.45418653,0.48691263,0.43772896,0.45431322
170,-0.01970677,-0.0013852,0.05314739,-0.02146579,-0.00253582,0.07004895,0.44382712,0.36020459,0.38547956,0.45996833,0.39841944,0.40817263
171,0.01899782,0.00581088,-0.1259385,0.02799231,0.00784901,-0.26047559,0.43585502,0.39789129,0.41669452,0.40019783,0.36287582,0.38411238
172,0.01235746,0.00777959,0.25265072,0.0229778,0.00831237,0.1379942,0.4497643,0.40340651,0.4263663,0.42977691,0.39000055,0.40913451
173,0.00595244,-0.00180437,-0.00861956,0.01982901,0.00117402,-0.04833511,0.42256259,0.38137675,0.4048386,0.40543888,0.37181546,0.39046918
174,0.00202874,0.00631905,0.1861916,0.00173528,0.00687667,0.23435904,0.30807016,0.25186926,0.26999952,0.32175456,0.27983788,0.28536807
175,-0.00148677,0.00075871,0.10717016,0.00665539,0.00136035,0.06641323,0.53541779,0.41738161,0.48116262,0.52477563,0.43302523,0.4838411
176,0.00713552,0.00083025,-0.0400628,0.00803035,0.00020662,-0.08254415,0.37383171,0.31786767,0.3362433,0.39197402,0.35149519,0.35559682
177,-0.00530384,0.00171829,0.12347348,0.00218431,-0.0026402,-0.05957666,0.47425043,0.41732935,0.44361452,0.46427161,0.41782448,0.43613786
178,0.00110056,0.00919779,0.11046027,0.00590158,0.01499252,0.20395641,0.36723777,0.31977099,0.34458933,0.32887674,0.28648877,0.31247077
